Signal,ModelName,AUC,S1e-2,S1e-3,S1e-4
stop2b1000_neutralino300_chan1,crude_AE,0.872,0.211,0.097,0.047
monojet_Zp2000.0_DM_50.0_chan1,crude_AE,0.724,0.106,0.045,0.015
monotop_200_A_chan1,crude_AE,0.714,0.130,0.077,0.037
glgl1400_neutralino1100_chan1,crude_AE,0.790,0.150,0.083,0.043
stlp_st1000_chan1,crude_AE,0.968,0.703,0.525,0.314
sqsq_sq1800_neut800_chan1,crude_AE,0.903,0.337,0.156,0.046
sqsq1_sq1400_neut800_chan1,crude_AE,0.853,0.210,0.102,0.052
glgl1600_neutralino800_chan1,crude_AE,0.856,0.216,0.102,0.045
chaneut_cha200_neut50_chan2a,crude_AE,0.474053,0.022523,0.000000,0.000000
pp24mt_50_chan2a,crude_AE,0.578228,0.044168,0.008992,0.003174
pp23mt_50_chan2a,crude_AE,0.505220,0.029959,0.011364,0.005165
chaneut_cha300_neut100_chan2a,crude_AE,0.606936,0.016077,0.006431,0.000000
gluino_1000.0_neutralino_1.0_chan2a,crude_AE,0.733231,0.062440,0.018004,0.006321
chaneut_cha250_neut150_chan2a,crude_AE,0.491694,0.013274,0.004425,0.000000
chaneut_cha400_neut200_chan2a,crude_AE,0.608436,0.047222,0.002778,0.000000
stlp_st1000_chan2b,crude_AE,0.996,0.907,0.688,0.396
chacha_cha400_neut60_chan2b,crude_AE,0.669,0.060,0.018,0.002
chaneut_cha200_neut50_chan2b,crude_AE,0.593,0.049,0.018,0.004
pp24mt_50_chan2b,crude_AE,0.630,0.083,0.031,0.009
pp23mt_50_chan2b,crude_AE,0.495,0.036,0.012,0.003
chacha_cha600_neut200_chan2b,crude_AE,0.727,0.086,0.030,0.004
gluino_1000.0_neutralino_1.0_chan2b,crude_AE,0.994,0.828,0.395,0.129
chaneut_cha250_neut150_chan2b,crude_AE,0.570,0.042,0.010,0.004
chacha_cha300_neut140_chan2b,crude_AE,0.553,0.032,0.009,0.002
monojet_Zp2000.0_DM_50.0_chan3,crude_AE,0.799,0.095,0.036,0.008
stop2b1000_neutralino300_chan3,crude_AE,0.932,0.354,0.145,0.050
gluino_1000.0_neutralino_1.0_chan3,crude_AE,0.979,0.578,0.203,0.072
monotop_200_A_chan3,crude_AE,0.772,0.122,0.055,0.019
glgl1400_neutralino1100_chan3,crude_AE,0.878,0.220,0.095,0.039
sqsq_sq1800_neut800_chan3,crude_AE,0.901,0.351,0.148,0.031
stlp_st1000_chan3,crude_AE,0.969,0.711,0.525,0.299
glgl1600_neutralino800_chan3,crude_AE,0.919,0.314,0.153,0.048
sqsq1_sq1400_neut800_chan3,crude_AE,0.919,0.338,0.143,0.046
monoV_Zp2000.0_DM_1.0_chan3,crude_AE,0.781,0.081,0.030,0.007
