Signal,ModelName,AUC,S1e-2,S1e-3,S1e-4
glgl1400_neutralino1100_chan1,DeepSetVAE_beta_0.001_weight_10.0,0.6693547857626407,0.00830078125,0.001220703125,0.0
glgl1600_neutralino800_chan1,DeepSetVAE_beta_0.001_weight_10.0,0.648668803353271,0.011905857740585774,0.0006508600650860065,9.298000929800093e-05
monojet_Zp2000.0_DM_50.0_chan1,DeepSetVAE_beta_0.001_weight_10.0,0.4573022174093219,0.007079646017699115,0.0008849557522123894,0.0
monotop_200_A_chan1,DeepSetVAE_beta_0.001_weight_10.0,0.6435693078898455,0.022770398481973434,0.002530044275774826,0.0006325110689437065
sqsq1_sq1400_neut800_chan1,DeepSetVAE_beta_0.001_weight_10.0,0.7427221497782672,0.04092759263763886,0.003620481634638774,0.0007297494526879105
sqsq_sq1800_neut800_chan1,DeepSetVAE_beta_0.001_weight_10.0,0.5420508143531136,0.006800141743444364,0.0007087172218284905,0.00035435861091424523
stlp_st1000_chan1,DeepSetVAE_beta_0.001_weight_10.0,0.8775915979186495,0.2882213972325346,0.03059961750478119,0.00697491281358983
stop2b1000_neutralino300_chan1,DeepSetVAE_beta_0.001_weight_10.0,0.7773758401433443,0.0715638015903067,0.003975766755017039,0.001135933358576297
chaneut_cha200_neut50_chan2a,DeepSetVAE_beta_0.001_weight_10.0,0.3946044995520258,0.0045045045045045045,0.0,0.0
chaneut_cha250_neut150_chan2a,DeepSetVAE_beta_0.001_weight_10.0,0.3990571086138347,0.004424778761061947,0.0,0.0
chaneut_cha300_neut100_chan2a,DeepSetVAE_beta_0.001_weight_10.0,0.4375416793211111,0.016436227224008573,0.0,0.0
chaneut_cha400_neut200_chan2a,DeepSetVAE_beta_0.001_weight_10.0,0.4432436559498029,0.011111111111111112,0.0,0.0
gluino_1000.0_neutralino_1.0_chan2a,DeepSetVAE_beta_0.001_weight_10.0,0.89865271348237,0.20551618463895804,0.041371384792185405,0.01704654280789121
pp23mt_50_chan2a,DeepSetVAE_beta_0.001_weight_10.0,0.37576149941558146,0.006198347107438017,0.002066115702479339,0.0010330578512396695
pp24mt_50_chan2a,DeepSetVAE_beta_0.001_weight_10.0,0.5149578741441234,0.017191219254165564,0.003438508331129331,0.0007934408886537953
chacha_cha300_neut140_chan2b,DeepSetVAE_beta_0.001_weight_10.0,0.36494091047997934,0.01804511278195489,0.005567969924812031,0.0
chacha_cha400_neut60_chan2b,DeepSetVAE_beta_0.001_weight_10.0,0.453483831847937,0.03180212014134275,0.0035335689045936395,0.001177856301531213
chacha_cha600_neut200_chan2b,DeepSetVAE_beta_0.001_weight_10.0,0.48362417104210753,0.032574458275703086,0.007468879668049793,0.0008298755186721991
chaneut_cha200_neut50_chan2b,DeepSetVAE_beta_0.001_weight_10.0,0.5454660912232696,0.06746034368803701,0.01190135492399207,0.0019828155981493722
chaneut_cha250_neut150_chan2b,DeepSetVAE_beta_0.001_weight_10.0,0.4493395741309398,0.06540697674418605,0.011627906976744186,0.0007267441860465116
gluino_1000.0_neutralino_1.0_chan2b,DeepSetVAE_beta_0.001_weight_10.0,0.9727658656845518,0.5443999931671819,0.09623923404109941,0.012149580635793718
pp23mt_50_chan2b,DeepSetVAE_beta_0.001_weight_10.0,0.5237655621092957,0.11992945326278659,0.024691358024691357,0.0065259700176366845
pp24mt_50_chan2b,DeepSetVAE_beta_0.001_weight_10.0,0.6924858588640493,0.22387045534768799,0.048479468172726206,0.01303746323096835
stlp_st1000_chan2b,DeepSetVAE_beta_0.001_weight_10.0,0.8571981831317926,0.18567444591222662,0.02106267429913401,0.0024218405988551297
glgl1400_neutralino1100_chan3,DeepSetVAE_beta_0.001_weight_10.0,0.7760886093606193,0.05550869915888927,0.02062449590966701,0.013019933172024427
glgl1600_neutralino800_chan3,DeepSetVAE_beta_0.001_weight_10.0,0.7772867733161185,0.07060855639441775,0.024822695035460994,0.014699153511782201
gluino_1000.0_neutralino_1.0_chan3,DeepSetVAE_beta_0.001_weight_10.0,0.9783348525490221,0.6278383759175761,0.06344271493606919,0.00672110043782265
monoV_Zp2000.0_DM_1.0_chan3,DeepSetVAE_beta_0.001_weight_10.0,0.5033585034736574,0.05326797385620915,0.02091503267973856,0.011451016042780747
monojet_Zp2000.0_DM_50.0_chan3,DeepSetVAE_beta_0.001_weight_10.0,0.5092633149477819,0.047038599781215815,0.024691358024691357,0.014902375371151742
monotop_200_A_chan3,DeepSetVAE_beta_0.001_weight_10.0,0.6769412542088147,0.08345957857044484,0.018752348161410273,0.0075714750034430525
sqsq1_sq1400_neut800_chan3,DeepSetVAE_beta_0.001_weight_10.0,0.8409125684555032,0.1738587526205451,0.04364017900338655,0.015068134171907758
sqsq_sq1800_neut800_chan3,DeepSetVAE_beta_0.001_weight_10.0,0.6179730120181666,0.07397815561310664,0.037045377772773336,0.022857786285328228
stlp_st1000_chan3,DeepSetVAE_beta_0.001_weight_10.0,0.9543899458869137,0.661795969697877,0.19307123394316855,0.06835943348204929
stop2b1000_neutralino300_chan3,DeepSetVAE_beta_0.001_weight_10.0,0.8737104914696899,0.24012059868633573,0.03004199418542048,0.006352966512329062
