Channel,Signal,AUC,epsilon1,epsilon2,epsilon3
1,glgl1400_neutralino1100,0.532345747110103,0.012674216027875,0.000435540069686,0.000217770034843
,glgl1600_neutralino800,0.531730544238041,0.012456445993031,0.000435540069686,0.000217770034843
,stlp_st1000 ,0.531592999351848,0.012674216027875,0.000391986062718,0.000217770034843
,monotop_200_A,0.531525836113301,0.012587108013937,0.000391986062718,0.000217770034843
,stop2b1000,0.532588133087076,0.012891986062718,0.000391986062718,0.000217770034843
,sqsq_sq1800_neut800,0.532784268585526,0.013066202090592,0.000391986062718,0.000217770034843
,sqsq1_sq1400,0.532741422229862,0.01315331010453,0.000479094076655,0.000217770034843
,monojet_Zp2000.0_DM_50.0,0.532978596729071,0.013022648083624,0.000435540069686,0.000217770034843
2a,chaneut_cha200_neut50,0.465023220911015,0.015700483091788,0.003623188405797,0
,chaneut_cha250_neut150 ,0.468373812624015,0.015700483091788,0.003623188405797,0
,chaneut_cha300_neut100,0.470507187613252,0.015700483091788,0.003623188405797,0
,chaneut_cha400_neut200,0.472825143889408,0.015700483091788,0.003623188405797,0
,gluino_1000.0_neutralino_1.0,0.47236268263815,0.015096618357488,0.003623188405797,0
,pp23mt_50,0.467001186822719,0.015096618357488,0.003623188405797,0
,pp24mt_50,0.478701384596886,0.015700483091788,0.003623188405797,0
2b,chacha_cha300_neut140,0.477969487645892,0.005389718076285,0.000207296849088,0
,chacha_cha400_neut60,0.479281198170711,0.005182421227197,0,0
,chacha_cha600_neut200,0.479910670752381,0.004560530679934,0,0
,chaneut_cha200_neut50,0.478626422103443,0.005182421227197,0,0
,chaneut_cha250_neut150,0.477269564973547,0.004767827529022,0,0
,gluino_1000.0_neutralino_1.0,0.474608462629753,0.005182421227197,0,0
,pp23mt_50,0.475940473141366,0.005182421227197,0,0
,pp24mt_50,0.477703389828455,0.004767827529022,0,0
,stlp_st1000,0.480226340894561,0.004767827529022,0,0
3,glgl1400_neutralino1100,0.534236208570349,0.010167050691244,0.000460829493088,0
,glgl1600_neutralino800,0.534985022771457,0.01022465437788,0.000331221198157,0
,gluino_1000.0_neutralino_1.0,0.533176215055264,0.009634216589862,0.000360023041475,0
,monoV_Zp2000.0_DM_1.0,0.533603412361391,0.01065668202765,0.000360023041475,0
,monojet_Zp2000.0_DM_50.0,0.533875895800331,0.009922235023041,0.000388824884793,0
,monotop_200_A ,0.532210578548027,0.009677419354839,0.000374423963134,0
,sqsq1_sq1400_neut800,0.533978993848106,0.009562211981567,0.000446428571429,0
,sqsq_sq1800_neut800,0.534780263505364,0.009706221198157,0.000345622119816,0
,stlp_st1000,0.534318204403082,0.010239055299539,0.000417626728111,0
,stop2b1000_neutralino300,0.53447719875072,0.00980702764977,0.00028801843318,0
