stop2b1000_neutralino300,Flow-Efficient,Likelihood,1,0.86,0.14,0.01,0.00
glgl1400_neutralino1100,Flow-Efficient,Likelihood,1,0.60,0.02,0.00,0.00
monojet_Zp2000.0_DM_50.0,Flow-Efficient,Likelihood,1,0.76,0.07,0.00,0.00
glgl1600_neutralino800,Flow-Efficient,Likelihood,1,0.77,0.05,0.00,0.00
monotop_200_A,Flow-Efficient,Likelihood,1,0.76,0.08,0.00,0.00
stlp_st1000,Flow-Efficient,Likelihood,1,0.98,0.78,0.41,0.15
sqsq_sq1800_neut800,Flow-Efficient,Likelihood,1,0.91,0.25,0.00,0.00
sqsq1_sq1400_neut800,Flow-Efficient,Likelihood,1,0.73,0.09,0.01,0.00
stop2b1000_neutralino300,Flow-Efficient-No-E,Likelihood,1,0.87,0.18,0.01,0.00
glgl1400_neutralino1100,Flow-Efficient-No-E,Likelihood,1,0.64,0.05,0.00,0.00
monojet_Zp2000.0_DM_50.0,Flow-Efficient-No-E,Likelihood,1,0.75,0.11,0.01,0.00
glgl1600_neutralino800,Flow-Efficient-No-E,Likelihood,1,0.78,0.09,0.00,0.00
monotop_200_A,Flow-Efficient-No-E,Likelihood,1,0.77,0.15,0.01,0.00
stlp_st1000,Flow-Efficient-No-E,Likelihood,1,0.98,0.77,0.41,0.07
sqsq_sq1800_neut800,Flow-Efficient-No-E,Likelihood,1,0.88,0.27,0.04,0.00
sqsq1_sq1400_neut800,Flow-Efficient-No-E,Likelihood,1,0.77,0.13,0.02,0.00
stop2b1000_neutralino300,Flow-Only-Aggregates,Likelihood,1,0.91,0.18,0.03,0.01
glgl1400_neutralino1100,Flow-Only-Aggregates,Likelihood,1,0.70,0.03,0.00,0.00
monojet_Zp2000.0_DM_50.0,Flow-Only-Aggregates,Likelihood,1,0.76,0.04,0.00,0.00
glgl1600_neutralino800,Flow-Only-Aggregates,Likelihood,1,0.84,0.07,0.01,0.00
monotop_200_A,Flow-Only-Aggregates,Likelihood,1,0.76,0.06,0.01,0.00
stlp_st1000,Flow-Only-Aggregates,Likelihood,1,0.98,0.65,0.33,0.18
sqsq_sq1800_neut800,Flow-Only-Aggregates,Likelihood,1,0.91,0.17,0.02,0.00
sqsq1_sq1400_neut800,Flow-Only-Aggregates,Likelihood,1,0.82,0.12,0.02,0.01
chaneut_cha250_neut150,Flow-Efficient,Likelihood,2a,0.47,0.00,0.00,0.00
chaneut_cha400_neut200,Flow-Efficient,Likelihood,2a,0.57,0.01,0.00,0.00
pp24mt_50,Flow-Efficient,Likelihood,2a,0.64,0.02,0.00,0.00
pp23mt_50,Flow-Efficient,Likelihood,2a,0.42,0.00,0.00,0.00
gluino_1000.0_neutralino_1.0,Flow-Efficient,Likelihood,2a,0.96,0.49,0.27,0.25
chaneut_cha200_neut50,Flow-Efficient,Likelihood,2a,0.47,0.00,0.00,0.00
chaneut_cha300_neut100,Flow-Efficient,Likelihood,2a,0.57,0.01,0.00,0.00
chaneut_cha250_neut150,Flow-Efficient-No-E,Likelihood,2a,0.50,0.00,0.00,0.00
chaneut_cha400_neut200,Flow-Efficient-No-E,Likelihood,2a,0.54,0.01,0.00,0.00
pp24mt_50,Flow-Efficient-No-E,Likelihood,2a,0.64,0.02,0.00,0.00
pp23mt_50,Flow-Efficient-No-E,Likelihood,2a,0.42,0.00,0.00,0.00
gluino_1000.0_neutralino_1.0,Flow-Efficient-No-E,Likelihood,2a,0.96,0.54,0.11,0.08
chaneut_cha200_neut50,Flow-Efficient-No-E,Likelihood,2a,0.46,0.00,0.00,0.00
chaneut_cha300_neut100,Flow-Efficient-No-E,Likelihood,2a,0.54,0.00,0.00,0.00
chaneut_cha250_neut150,Flow-Only-Aggregates,Likelihood,2a,0.47,0.00,0.00,0.00
chaneut_cha400_neut200,Flow-Only-Aggregates,Likelihood,2a,0.54,0.01,0.00,0.00
pp24mt_50,Flow-Only-Aggregates,Likelihood,2a,0.57,0.02,0.00,0.00
pp23mt_50,Flow-Only-Aggregates,Likelihood,2a,0.37,0.00,0.00,0.00
gluino_1000.0_neutralino_1.0,Flow-Only-Aggregates,Likelihood,2a,0.96,0.41,0.05,0.04
chaneut_cha200_neut50,Flow-Only-Aggregates,Likelihood,2a,0.44,0.00,0.00,0.00
chaneut_cha300_neut100,Flow-Only-Aggregates,Likelihood,2a,0.52,0.00,0.00,0.00
pp24mt_50,Flow-Efficient,Likelihood,2b,0.80,0.46,0.24,0.13
chaneut_cha200_neut50,Flow-Efficient,Likelihood,2b,0.75,0.17,0.04,0.01
